Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Release_Year
Arnolds Park,23616.0,23616.0,,600000.0,2007-10-19,PG-13,,The Movie Partners,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.1,77.0,2007
Sweet Sweetback's Baad Asssss Song,15200000.0,15200000.0,,150000.0,1971-01-01,,,,,,,,,5.6,1769.0,1971
And Then Came Love,8158.0,8158.0,,989000.0,2007-06-01,Not Rated,,Fox Meadow,,Comedy,,,17.0,4.4,200.0,2007
Around the World in 80 Days,42000000.0,42000000.0,,6000000.0,1956-10-17,PG,,United Artists,Based on Book/Short Story,Adventure,,,73.0,5.6,21516.0,1956
Barbarella,0.0,0.0,,9000000.0,1968-10-10,,,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Science Fiction,,74.0,5.7,10794.0,1968
Barry Lyndon,20000000.0,20000000.0,,11000000.0,1974-12-31,,,Warner Bros.,Based on Book/Short Story,Drama,,Stanley Kubrick,94.0,8.1,39909.0,1974
"Barbarians, The",800000.0,800000.0,,4000000.0,1987-03-01,,,,,,,,,5.4,236.0,1987
Babe,63658910.0,246100000.0,,30000000.0,1995-08-04,G,,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Chris Noonan,98.0,7.3,35644.0,1995
Boynton Beach Club,3127472.0,3127472.0,,2900000.0,2006-03-24,R,104.0,Wingate Distribution,Original Screenplay,Romantic Comedy,Contemporary Fiction,,,,,2006
Baby's Day Out,16581575.0,16581575.0,,50000000.0,1994-07-01,PG,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Patrick Read Johnson,21.0,5.0,8332.0,1994
Bound by Honor,4496583.0,4496583.0,,35000000.0,1993-04-16,,,Walt Disney Pictures,Original Screenplay,,,Taylor Hackford,,7.7,10142.0,1993
"Bon Cop, Bad Cop",12671300.0,12671300.0,,8000000.0,2006-08-04,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,67.0,6.9,151.0,2006
Back to the Future,210609762.0,381109762.0,,19000000.0,1985-07-03,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,96.0,8.4,201598.0,1985
Back to the Future Part II,118450002.0,332000000.0,,40000000.0,1989-11-22,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,64.0,7.5,87341.0,1989
Back to the Future Part III,87666629.0,243700000.0,,40000000.0,1990-05-24,,,Universal,Original Screenplay,Adventure,Science Fiction,Robert Zemeckis,71.0,7.1,77541.0,1990
Butch Cassidy and the Sundance Kid,102308900.0,102308900.0,,6000000.0,1969-10-24,,,20th Century Fox,,Western,Historical Fiction,George Roy Hill,90.0,8.2,57602.0,1969
Bad Boys,65647413.0,141247413.0,,23000000.0,1995-04-07,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,39.0,6.6,53929.0,1995
Body Double,8801940.0,8801940.0,,10000000.0,1984-10-26,,,Sony/Columbia,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,84.0,6.4,9738.0,1984
"The Beast from 20,000 Fathoms",5000000.0,5000000.0,,210000.0,1953-06-13,,,Warner Bros.,Based on Book/Short Story,,,,90.0,,,1953
Beastmaster 2: Through the Portal of Time,773490.0,773490.0,,6000000.0,1991-08-30,,,New Line,Based on Book/Short Story,,Fantasy,,17.0,3.3,1327.0,1991
The Beastmaster,10751126.0,10751126.0,,5000000.0,1982-08-20,,,MGM,Based on Book/Short Story,Action,Fantasy,,50.0,5.7,5734.0,1982
Ben-Hur,9000000.0,9000000.0,,3900000.0,1925-12-30,,,MGM,Based on Book/Short Story,Adventure,,,,8.2,58510.0,1925
Ben-Hur,73000000.0,73000000.0,,15000000.0,1959-11-18,,,MGM,Based on Book/Short Story,Adventure,,William Wyler,91.0,8.2,58510.0,1959
Benji,31559560.0,31559560.0,,500000.0,1974-11-15,,,,Original Screenplay,Adventure,,,83.0,5.8,1801.0,1974
Before Sunrise,5274005.0,5274005.0,,2500000.0,1995-01-27,R,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Richard Linklater,100.0,8.0,39705.0,1995
Beauty and the Beast,171340294.0,403476931.0,,20000000.0,1991-11-13,G,,Walt Disney Pictures,Based on Book/Short Story,Musical,Fantasy,Gary Trousdale,93.0,3.4,354.0,1991
The Best Years of Our Lives,23600000.0,23600000.0,,2100000.0,1946-11-21,,,RKO Radio Pictures,Based on Book/Short Story,Drama,,William Wyler,97.0,8.2,17338.0,1946
The Ballad of Gregorio Cortez,909000.0,909000.0,,1305000.0,1983-08-19,,,Embassy,Based on Book/Short Story,Western,Historical Fiction,,,,,1983
My Big Fat Independent Movie,4655.0,4655.0,,3000000.0,2005-09-30,R,,Big Fat Movies,,Comedy,Contemporary Fiction,,23.0,3.2,1119.0,2005
Battle for the Planet of the Apes,8800000.0,8800000.0,,1800000.0,1972-12-31,,,20th Century Fox,,,Science Fiction,Jack Lee Thompson,38.0,5.0,6094.0,1972
Big Things,0.0,0.0,,50000.0,2009-12-31,,,,,,,,,,,2009
Bogus,4357406.0,4357406.0,,32000000.0,1996-09-06,PG,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Norman Jewison,40.0,4.8,2742.0,1996
Beverly Hills Cop,234760478.0,316300000.0,,15000000.0,1984-12-05,,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Martin Brest,83.0,7.3,45065.0,1984
Beverly Hills Cop II,153665036.0,276665036.0,,20000000.0,1987-05-20,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,46.0,6.1,29712.0,1987
Beverly Hills Cop III,42586861.0,119180938.0,,50000000.0,1994-05-25,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Landis,10.0,5.0,21199.0,1994
The Black Hole,35841901.0,35841901.0,,20000000.0,1979-12-21,,,Walt Disney Pictures,Original Screenplay,,Science Fiction,,42.0,5.6,7810.0,1979
Bathory,0.0,3436763.0,,15000000.0,2008-07-10,,,,,,,,,6.1,1446.0,2008
Big,114968774.0,151668774.0,,18000000.0,1988-06-03,,,20th Century Fox,Original Screenplay,Comedy,Fantasy,Penny Marshall,96.0,7.2,49256.0,1988
The Big Parade,11000000.0,22000000.0,,245000.0,1925-01-01,,,MGM,Based on Play,Drama,,King Vidor,100.0,8.4,2600.0,1925
Boyz n the Hood,56190094.0,56190094.0,,6500000.0,1991-07-12,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,John Singleton,98.0,7.8,30299.0,1991
"The Book of Mormon Movie, Volume 1: The Journey",1660865.0,1660865.0,,2000000.0,2003-09-12,PG,,Distributor Unknown,Based on Book/Short Story,Drama,Historical Fiction,,,,,2003
Return to the Blue Lagoon,2000000.0,2000000.0,,11000000.0,1990-12-31,,,,,,,,,4.3,4632.0,1990
"Bright Lights, Big City",16118077.0,16118077.0,,25000000.0,1988-04-01,R,,United Artists,Based on Book/Short Story,Drama,Contemporary Fiction,,61.0,6.8,11929.0,1988
The Blue Bird,887000.0,887000.0,,1200000.0,1975-12-31,,,20th Century Fox,Based on Play,,Fantasy,George Cukor,,4.9,359.0,1975
The Blue Butterfly,1610194.0,1610194.0,,10400000.0,2004-02-20,PG,,Alliance,Original Screenplay,Drama,Contemporary Fiction,,44.0,6.2,817.0,2004
Blade Runner,32656328.0,33139618.0,,28000000.0,1982-06-25,R,,Warner Bros.,Based on Book/Short Story,Thriller/Suspense,Science Fiction,Ridley Scott,92.0,8.3,185546.0,1982
Bloodsport,11806119.0,11806119.0,,1500000.0,1988-02-26,,,Cannon,Original Screenplay,Action,Contemporary Fiction,,,6.2,19816.0,1988
The Blues Brothers,57229890.0,57229890.0,,27000000.0,1980-06-20,,,Universal,Original Screenplay,Musical,Contemporary Fiction,John Landis,84.0,7.9,62941.0,1980
Blow Out,13747234.0,13747234.0,,18000000.0,1981-07-24,,,Filmways Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,89.0,7.1,10239.0,1981
De battre mon coeur s'est arrÍtÈ,1023424.0,8589831.0,,5500000.0,2005-07-01,Not Rated,,WellSpring,Original Screenplay,Drama,Contemporary Fiction,,,7.3,7295.0,2005
The Broadway Melody,2800000.0,4358000.0,,379000.0,1928-12-31,,,MGM,Original Screenplay,Musical,,,38.0,6.7,2017.0,1928
Boom Town,9172000.0,9172000.0,,2000000.0,1939-12-31,,,MGM,Original Screenplay,,,,,7.1,1115.0,1939
Bound,3802260.0,6300000.0,,4500000.0,1996-10-04,R,,Gramercy,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Andy Wachowski,88.0,7.4,23564.0,1996
Bang,527.0,527.0,,10000.0,1996-04-01,,,JeTi Films,Original Screenplay,Thriller/Suspense,Contemporary Fiction,"Jeff """"King Jeff"""" Hollins",,6.3,369.0,1996
Bananas,,,,2000000.0,1971-04-28,PG-13,,MGM,Original Screenplay,Comedy,,Woody Allen,89.0,7.1,12415.0,1971
Bill & Ted's Bogus Journey,37537675.0,37537675.0,,20000000.0,1991-07-19,,,Orion Pictures,Original Screenplay,Comedy,Fantasy,Peter Hewitt,58.0,5.8,20188.0,1991
The Birth of a Nation,10000000.0,11000000.0,,110000.0,1915-02-08,,,,Based on Book/Short Story,Drama,,,100.0,7.1,8901.0,1915
The Ballad of Cable Hogue,3500000.0,5000000.0,,3716946.0,1970-05-13,,,Warner Bros.,Original Screenplay,Western,Historical Fiction,Sam Peckinpah,92.0,7.3,3125.0,1970
The Blood of Heroes,882290.0,882290.0,,7700000.0,1990-02-23,,,New Line,Original Screenplay,Action,,,,6.2,2523.0,1990
The Blood of My Brother: A Story of Death in Iraq,0.0,0.0,,120000.0,2006-06-30,,,Lifesize Entertainment,Based on Real Life Events,Documentary,Factual,,71.0,7.6,90.0,2006
Boomerang,70052444.0,131052444.0,,42000000.0,1992-07-01,,,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,,37.0,5.9,202.0,1992
The Bridge on the River Kwai,33300000.0,33300000.0,,3000000.0,1957-12-18,,,Sony/Columbia,Based on Book/Short Story,Drama,,David Lean,95.0,8.4,58641.0,1957
Born on the Fourth of July,70001698.0,70001698.0,,14000000.0,1989-12-20,,,Universal,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,89.0,7.2,32108.0,1989
Basquiat,2962051.0,2962051.0,,3000000.0,1996-08-09,R,,Miramax,Based on Real Life Events,Drama,Dramatization,Julian Schnabel,69.0,6.7,7935.0,1996
Black Rain,45892212.0,45892212.0,,30000000.0,1989-09-22,,,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Ridley Scott,57.0,4.1,137.0,1989
Bottle Rocket,407488.0,407488.0,,5000000.0,1996-02-21,R,,Sony Pictures,Based on Short Film,Adventure,,Wes Anderson,79.0,7.2,21980.0,1996
Braindead,242623.0,242623.0,,3000000.0,1993-02-12,,,Trimark,Original Screenplay,Horror,,Peter Jackson,,7.6,32827.0,1993
The Bridges of Madison County,71516617.0,175516617.0,,22000000.0,1995-06-02,PG-13,,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,90.0,7.2,21923.0,1995
The Brothers McMullen,10426506.0,10426506.0,,25000.0,1995-08-09,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Edward Burns,91.0,6.4,4365.0,1995
Dracula,82522790.0,215862692.0,,40000000.0,1992-11-13,R,,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,Francis Ford Coppola,,6.4,136.0,1992
Broken Arrow,70645997.0,148345997.0,,65000000.0,1996-02-09,R,108.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,John Woo,55.0,5.8,33584.0,1996
Brainstorm,8921050.0,8921050.0,,15000000.0,1983-09-30,,,MGM,Based on Book/Short Story,Thriller/Suspense,Science Fiction,,64.0,6.3,4410.0,1983
Braveheart,75545647.0,209000000.0,,72000000.0,1995-05-24,R,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Mel Gibson,77.0,8.4,240642.0,1995
Les BronzÈs 3: amis pour la vie,0.0,83833602.0,,42000000.0,2006-02-01,,,,,Comedy,Contemporary Fiction,,,4.4,1254.0,2006
Brazil,9929135.0,9929135.0,,15000000.0,1985-12-18,R,136.0,Universal,Original Screenplay,Black Comedy,Fantasy,Terry Gilliam,98.0,8.0,76635.0,1985
Blazing Saddles,119500000.0,119500000.0,,2600000.0,1974-01-01,,,Warner Bros.,Original Screenplay,Comedy,,Mel Brooks,89.0,7.8,45771.0,1974
The Basket,609042.0,609042.0,,1300000.0,2000-05-05,PG,,MGM,Original Screenplay,Drama,,,,6.3,343.0,2000
Bathing Beauty,3500000.0,3500000.0,,2361000.0,1943-12-31,,,MGM,Original Screenplay,Musical,,,,6.2,487.0,1943
Bill & Ted's Excellent Adventure,39916091.0,39916091.0,,10000000.0,1989-02-17,,,Orion Pictures,Original Screenplay,Comedy,Science Fiction,Stephen Herek,81.0,6.7,30341.0,1989
A Bridge Too Far,50800000.0,50800000.0,,26000000.0,1977-06-15,,,MGM,Based on Book/Short Story,Action,,Sir Richard Attenborough,67.0,7.3,16882.0,1977
Beetle Juice,73326666.0,73326666.0,,15000000.0,1988-03-30,,,Warner Bros.,Original Screenplay,Comedy,Fantasy,Tim Burton,,7.3,61197.0,1988
Batman Returns,162831698.0,266822354.0,,80000000.0,1992-06-18,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Tim Burton,78.0,6.9,78673.0,1992
Batman Forever,184031112.0,336529144.0,,100000000.0,1995-06-16,PG-13,,Warner Bros.,Original Screenplay,Action,Super Hero,Joel Schumacher,43.0,5.4,76218.0,1995
Batman - The Movie,0.0,0.0,,1377800.0,2001-08-21,,,,,,,,,,,2001
Batman,251188924.0,411348924.0,,35000000.0,1989-06-23,PG-13,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Tim Burton,71.0,7.6,111464.0,1989
Buffy the Vampire Slayer,14231669.0,14231669.0,,7000000.0,1992-07-31,,,20th Century Fox,Original Screenplay,Horror,Fantasy,,32.0,5.3,16056.0,1992
Bienvenue chez les Ch'tis,1470856.0,243470856.0,,16000000.0,2008-07-25,Not Rated,109.0,Link Productions Ltd.,Original Screenplay,Comedy,Contemporary Fiction,,,7.0,7129.0,2008
Beyond the Valley of the Dolls,9000000.0,9000000.0,,1000000.0,1970-01-01,,,20th Century Fox,Original Screenplay,Comedy,,,68.0,5.7,4626.0,1970
Broken Vessels,15030.0,85343.0,,600000.0,1999-07-02,R,,,Original Screenplay,Drama,,,,6.4,399.0,1999
The Boys from Brazil,19000000.0,19000000.0,,12000000.0,1977-12-31,,,20th Century Fox,Based on Book/Short Story,Thriller/Suspense,,Franklin J. Schaffner,65.0,7.0,8741.0,1977
The Business of Fancy Dancing,174682.0,174682.0,,200000.0,2002-05-10,Not Rated,,Outrider Pictures,Original Screenplay,Drama,Contemporary Fiction,,,7.0,355.0,2002
Caddyshack,39846344.0,39846344.0,,6000000.0,1980-07-25,,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Harold Ramis,75.0,7.3,35436.0,1980
Cape Fear,79091969.0,182291969.0,,35000000.0,1991-11-15,R,,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Martin Scorsese,76.0,7.3,47196.0,1991
Clear and Present Danger,122012656.0,207500000.0,,62000000.0,1994-08-03,PG-13,,Paramount Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Phillip Noyce,78.0,6.8,29612.0,1994
Carrie,25878153.0,25878153.0,,1800000.0,1976-11-16,,,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90.0,7.4,38767.0,1976
Casino Royale,22744718.0,41744718.0,,12000000.0,1967-04-28,,,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,John Huston,30.0,8.0,172936.0,1967
Camping Sauvage,3479302.0,3479302.0,,4600000.0,2004-07-16,Not Rated,,Alliance,Original Screenplay,Comedy,Contemporary Fiction,,,6.0,378.0,2004
The Cotton Club,25928721.0,25928721.0,,48000000.0,1984-12-14,,,Orion Pictures,Original Screenplay,Drama,Historical Fiction,Francis Ford Coppola,74.0,6.3,6940.0,1984
Crop Circles: Quest for Truth,0.0,0.0,,600000.0,2002-08-23,,,,,,,,60.0,7.1,153.0,2002
Close Encounters of the Third Kind,166000000.0,337700000.0,,20000000.0,1977-11-16,,,Sony Pictures,Original Screenplay,Adventure,Science Fiction,Steven Spielberg,95.0,7.8,59049.0,1977
The Cable Guy,60240295.0,102825796.0,,47000000.0,1996-06-14,PG-13,95.0,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,52.0,5.8,51109.0,1996
Chocolate: Deep Dark Secrets,49000.0,1549000.0,,1000000.0,2005-09-16,Not Rated,,Eros Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,4.6,527.0,2005
Child's Play,33244684.0,44196684.0,,9000000.0,1988-11-09,,,United Artists,Original Screenplay,Horror,Fantasy,,70.0,6.3,16165.0,1988
Child's Play 2,26904572.0,34166572.0,,13000000.0,1990-11-09,,,Universal,Original Screenplay,Horror,Fantasy,,38.0,5.1,8666.0,1990
Chain Reaction,21226204.0,60209334.0,,55000000.0,1996-08-02,PG-13,106.0,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Andrew Davis,13.0,5.2,15817.0,1996
Charly,814666.0,814666.0,,950000.0,2002-09-27,PG,,Excel Entertainment,Based on Book/Short Story,Drama,Contemporary Fiction,,,5.8,60.0,2002
Chariots of Fire,57159946.0,57159946.0,,5500000.0,1981-09-25,,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Hugh Hudson,86.0,7.3,16138.0,1981
